COPY poprawne_odpowiedzi FROM STDIN DELIMITER ';' NULL 'null';0;20;1
0;20;8
0;20;10
0;20;17
0;20;18
0;20;19
0;20;23
0;61;3
0;61;4
0;61;7
0;61;8
0;61;9
0;61;11
0;61;12
0;61;13
0;61;15
0;61;16
0;61;19
0;61;21
0;70;5
0;70;6
0;70;8
0;70;14
0;70;21
0;70;24
0;41;1
0;41;9
0;41;12
0;41;16
0;41;18
0;41;22
0;47;5
0;47;8
0;47;19
0;47;20
0;47;21
0;47;22
0;47;23
0;57;4
0;57;6
0;57;10
0;57;12
0;57;14
0;57;16
0;57;24
0;68;2
0;68;4
0;68;9
0;68;10
0;68;13
0;68;18
0;68;19
0;68;21
0;68;22
0;68;24
1;39;1
1;39;3
1;39;5
1;39;13
1;39;16
1;39;17
1;39;19
1;39;20
1;39;22
1;43;1
1;43;9
1;43;10
1;43;21
1;43;23
1;49;1
1;49;3
1;49;7
1;49;8
1;49;9
1;49;10
1;49;11
1;49;13
1;49;17
1;49;21
1;49;24
1;69;4
1;69;10
1;69;16
1;69;17
1;69;18
1;69;20
1;69;24
1;4;2
1;4;4
1;4;7
1;4;8
1;4;9
1;4;12
1;4;18
1;4;21
1;4;24
1;44;1
1;44;2
1;44;3
1;44;9
1;44;14
1;44;19
1;44;20
1;44;22
1;44;24
1;59;1
1;59;2
1;59;4
1;59;5
1;59;7
1;59;9
1;59;12
1;59;14
1;59;19
1;64;3
1;64;5
1;64;7
1;64;8
1;64;12
1;64;17
1;64;20
1;64;21
1;27;3
1;27;4
1;27;6
1;27;7
1;27;8
1;27;9
1;27;14
1;27;17
1;27;19
1;38;1
1;38;2
1;38;3
1;38;4
1;38;5
1;38;7
1;38;8
1;38;14
1;38;15
1;38;20
1;38;22
1;62;1
1;62;5
1;62;23
1;20;1
1;20;9
1;20;10
1;20;11
1;20;15
1;20;17
1;20;19
1;47;5
1;47;9
1;47;11
1;47;22
1;47;23
2;4;5
2;4;8
2;4;12
2;4;14
2;4;18
2;4;21
2;35;1
2;35;2
2;35;3
2;35;6
2;35;8
2;35;14
2;35;15
2;35;19
2;35;22
2;35;24
2;61;1
2;61;6
2;61;7
2;61;8
2;61;13
2;61;14
2;61;15
2;61;17
2;61;20
2;61;23
2;26;3
2;26;5
2;26;6
2;26;9
2;26;14
2;26;17
2;26;18
2;26;20
2;26;23
2;59;2
2;59;4
2;59;6
2;59;7
2;59;15
2;59;16
2;59;20
2;37;1
2;37;4
2;37;11
2;37;16
2;37;23
2;45;17
2;45;19
2;45;20
2;45;21
2;45;24
3;52;2
3;52;4
3;52;7
3;52;8
3;52;10
3;52;11
3;52;17
3;52;21
3;52;24
3;10;5
3;10;9
3;10;10
3;10;18
3;10;19
3;10;23
3;10;24
3;39;1
3;39;5
3;39;10
3;39;13
3;39;21
3;39;24
3;30;2
3;30;3
3;30;5
3;30;8
3;30;10
3;30;12
3;30;16
3;30;22
3;51;4
3;51;5
3;51;11
3;51;12
3;51;14
3;51;18
3;51;20
3;51;21
3;51;24
3;35;2
3;35;5
3;35;7
3;35;8
3;35;10
3;35;15
3;35;18
3;35;19
3;15;1
3;15;4
3;15;8
3;15;10
3;15;11
3;15;12
3;15;14
3;15;19
3;63;2
3;63;8
3;63;9
3;63;13
3;63;15
3;63;21
3;62;3
3;62;12
3;62;21
3;62;24
3;72;1
3;72;5
3;72;6
3;72;13
3;72;16
3;72;18
3;72;23
3;72;24
3;41;2
3;41;3
3;41;4
3;41;5
3;41;6
3;41;11
3;41;16
3;41;17
3;41;20
3;41;21
3;41;23
3;41;24
3;69;2
3;69;8
3;69;10
3;69;13
3;69;20
3;69;21
3;69;22
3;22;2
3;22;4
3;22;5
3;22;6
3;22;7
3;22;9
3;22;10
3;22;12
3;22;16
